Age,Gender,City_Size,Marital_Status,Children,Country_of_Origin,Occupation,Education,Income,Hobbies,Personality_Type,Event_Preference
48,Male,Large,Single,Yes,Japan,Chef,Secondary,2680,"Sports, Art",Introvert,Educational
37,Female,Medium,Married,No,Nigeria,Sales,Bachelor,3593,"Photography, Cooking",Ambivert,Educational
57,Female,Medium,Single,Yes,United States,Designer,Master,3901,"Cooking, Music",Extrovert,Educational
44,Female,Small,Single,No,France,Teacher,Secondary,2111,"Music, Gardening, Cooking",Introvert,Educational
39,Female,Medium,Single,No,Germany,Developer,Master,3244,"Gaming, Photography, Dancing, Cooking",Extrovert,Entertainment
39,Female,Medium,Married,No,United States,Teacher,Primary,762,"Gaming, Gardening, Cooking",Ambivert,Educational
28,Female,Medium,Single,Yes,United States,Sales,Bachelor,3454,"Gardening, Photography, Gaming, Traveling",Introvert,Entertainment
22,Male,Small,Married,No,Poland,Sales,Secondary,4115,"Gardening, Music, Sports",Ambivert,Entertainment
44,Female,Large,Single,Yes,Canada,Student,Secondary,2864,"Art, Reading, Photography",Ambivert,Educational
60,Male,Large,Single,No,Nigeria,Designer,Primary,5380,"Gardening, Gaming, Art, Traveling",Extrovert,Entertainment
21,Male,Large,Married,No,Germany,Developer,Primary,2143,"Art, Reading, Gardening",Ambivert,Educational
59,Male,Large,Single,No,Canada,Manager,Bachelor,3461,"Reading, Cooking, Photography, Dancing",Introvert,Entertainment
57,Male,Small,Married,No,Germany,Artist,Bachelor,3157,"Cooking, Sports, Music",Introvert,Entertainment
31,Male,Medium,Single,Yes,United States,Designer,Secondary,3080,"Photography, Cooking",Ambivert,Entertainment
48,Female,Medium,Married,Yes,Poland,Unemployed,Master,3063,"Gardening, Sports, Dancing",Ambivert,Educational
25,Female,Large,Single,Yes,Japan,Developer,Bachelor,3329,"Art, Dancing",Extrovert,Entertainment
54,Male,Small,Married,No,United States,Designer,Secondary,4218,"Reading, Photography",Extrovert,Educational
51,Male,Small,Single,No,Germany,Artist,Bachelor,4853,"Art, Cooking",Extrovert,Educational
35,Female,Medium,Divorced,Yes,Germany,Developer,Secondary,3197,"Photography, Gardening, Art",Ambivert,Educational
21,Female,Small,Single,Yes,Canada,Developer,Master,4178,"Gardening, Photography",Introvert,Educational
64,Female,Medium,Single,Yes,Japan,Designer,Bachelor,2358,"Photography, Gardening",Ambivert,Educational
39,Female,Small,Married,No,Poland,Artist,Secondary,4119,"Traveling, Photography",Introvert,Educational
60,Male,Medium,Single,Yes,Poland,Artist,Secondary,2286,"Art, Photography, Music",Introvert,Entertainment
50,Female,Large,Married,No,Spain,Artist,Secondary,4509,"Gardening, Reading, Art, Sports",Introvert,Educational
55,Male,Medium,Married,Yes,Germany,Manager,Bachelor,5853,"Cooking, Photography",Extrovert,Entertainment
54,Male,Small,Married,Yes,India,Artist,Bachelor,3053,"Gardening, Reading, Photography",Ambivert,Educational
27,Male,Small,Married,Yes,Spain,Teacher,PhD,600,"Traveling, Gardening",Introvert,Educational
35,Female,Small,Widowed,No,Germany,Sales,Secondary,2542,"Art, Traveling, Gaming, Sports",Extrovert,Entertainment
40,Female,Small,Married,Yes,Spain,Unemployed,Secondary,4678,"Gardening, Cooking, Sports, Art",Extrovert,Entertainment
41,Female,Medium,Single,No,Japan,Engineer,Primary,3864,"Art, Sports",Ambivert,Educational
20,Male,Medium,Married,No,Nigeria,Designer,Secondary,3499,"Traveling, Gardening",Introvert,Entertainment
44,Male,Small,Single,Yes,Brazil,Chef,Bachelor,4410,"Dancing, Gardening, Sports, Gaming",Ambivert,Entertainment
25,Female,Small,Single,No,Canada,Unemployed,PhD,3781,"Art, Reading",Ambivert,Educational
53,Female,Large,Single,No,Japan,Unemployed,Bachelor,4661,"Dancing, Sports",Ambivert,Entertainment
50,Male,Small,Single,Yes,India,Artist,Secondary,4303,"Photography, Art, Music",Ambivert,Entertainment
62,Male,Medium,Single,Yes,France,Doctor,Master,5026,"Dancing, Sports, Cooking",Introvert,Educational
53,Male,Medium,Single,No,Nigeria,Student,Master,3631,"Traveling, Music, Art",Ambivert,Educational
35,Male,Small,Married,No,Japan,Designer,Secondary,4286,"Dancing, Art, Cooking",Ambivert,Entertainment
64,Male,Large,Married,Yes,Spain,Artist,Master,2831,"Photography, Gardening",Extrovert,Educational
37,Female,Small,Divorced,No,Spain,Unemployed,Bachelor,2478,"Traveling, Photography, Art",Introvert,Educational
33,Female,Medium,Single,No,Nigeria,Artist,Master,5248,"Music, Traveling, Photography, Reading",Ambivert,Educational
61,Male,Medium,Single,No,Germany,Chef,Bachelor,3459,"Photography, Gaming, Music",Extrovert,Entertainment
35,Female,Large,Married,Yes,United States,Student,Secondary,4166,"Music, Art",Ambivert,Entertainment
21,Male,Medium,Single,No,India,Chef,Master,3348,"Traveling, Dancing",Ambivert,Entertainment
40,Male,Large,Single,No,India,Designer,Bachelor,2496,"Gaming, Reading, Music, Traveling",Ambivert,Educational
56,Female,Medium,Married,Yes,Spain,Teacher,PhD,3213,"Art, Gardening, Dancing",Extrovert,Entertainment
27,Female,Medium,Married,Yes,Japan,Student,Secondary,4923,"Gaming, Traveling, Photography, Dancing",Extrovert,Entertainment
40,Female,Medium,Single,Yes,Canada,Manager,Secondary,3866,"Photography, Sports, Dancing, Art",Introvert,Entertainment
24,Male,Medium,Married,Yes,France,Developer,Bachelor,1146,"Gardening, Gaming",Introvert,Educational
50,Male,Medium,Married,Yes,Brazil,Developer,Bachelor,2942,"Cooking, Photography, Gaming, Sports",Introvert,Educational
40,Male,Small,Divorced,No,Germany,Teacher,Bachelor,5339,"Dancing, Sports",Introvert,Educational
33,Male,Small,Single,No,India,Developer,Bachelor,2943,"Dancing, Music, Gaming, Cooking",Ambivert,Entertainment
28,Male,Medium,Married,Yes,Poland,Manager,Bachelor,1039,"Art, Reading, Gaming, Music",Introvert,Educational
45,Female,Small,Married,Yes,Brazil,Artist,Bachelor,5472,"Traveling, Cooking, Music, Sports",Ambivert,Entertainment
50,Female,Medium,Single,Yes,United States,Unemployed,Secondary,4019,"Sports, Dancing",Ambivert,Entertainment
63,Male,Small,Married,No,Japan,Designer,Bachelor,3116,"Music, Reading, Sports",Ambivert,Educational
38,Male,Medium,Married,Yes,United States,Sales,Bachelor,2754,"Gaming, Gardening",Introvert,Educational
25,Male,Medium,Single,Yes,Canada,Engineer,Master,4499,"Sports, Art, Gaming, Photography",Ambivert,Educational
57,Female,Medium,Married,No,Canada,Designer,Bachelor,2550,"Gaming, Art, Traveling",Introvert,Entertainment
48,Female,Medium,Single,Yes,Germany,Chef,Bachelor,4578,"Dancing, Reading, Traveling",Extrovert,Entertainment
51,Female,Small,Married,Yes,Spain,Doctor,Primary,3851,"Dancing, Gaming, Gardening, Reading",Ambivert,Educational
22,Female,Small,Single,Yes,United States,Chef,Secondary,3494,"Dancing, Music, Cooking",Introvert,Entertainment
32,Male,Medium,Married,Yes,Brazil,Manager,Secondary,3375,"Gaming, Sports, Dancing",Introvert,Entertainment
54,Female,Large,Single,No,India,Chef,Bachelor,2990,"Music, Sports, Dancing, Cooking",Ambivert,Entertainment
57,Female,Medium,Married,Yes,Brazil,Unemployed,Master,4455,"Gaming, Reading",Ambivert,Educational
38,Male,Medium,Married,No,Brazil,Designer,PhD,2162,"Dancing, Reading, Traveling, Gardening",Extrovert,Educational
56,Male,Medium,Married,Yes,Spain,Student,Bachelor,1254,"Gaming, Sports",Introvert,Educational
58,Female,Medium,Married,Yes,India,Engineer,Bachelor,3937,"Gaming, Gardening, Sports",Introvert,Entertainment
36,Male,Medium,Single,Yes,France,Artist,Bachelor,3957,"Photography, Dancing",Extrovert,Entertainment
61,Male,Medium,Single,Yes,France,Engineer,Bachelor,3776,"Photography, Traveling",Ambivert,Educational
31,Male,Small,Married,Yes,United States,Doctor,Bachelor,3689,"Traveling, Dancing, Photography, Cooking",Ambivert,Entertainment
29,Female,Small,Single,No,Spain,Manager,Bachelor,2815,"Dancing, Photography, Traveling",Extrovert,Entertainment
50,Male,Medium,Married,No,United States,Engineer,Bachelor,4145,"Cooking, Sports, Reading",Ambivert,Educational
48,Male,Medium,Married,No,France,Manager,Master,3145,"Music, Reading, Cooking",Ambivert,Educational
24,Male,Large,Divorced,Yes,Germany,Doctor,Bachelor,2615,"Cooking, Sports, Music, Traveling",Extrovert,Entertainment
57,Male,Medium,Single,Yes,Germany,Doctor,Secondary,2826,"Dancing, Photography",Introvert,Entertainment
27,Female,Small,Married,Yes,Spain,Unemployed,Bachelor,5625,"Gaming, Gardening",Introvert,Educational
56,Male,Large,Single,No,Nigeria,Chef,PhD,1118,"Reading, Cooking, Photography, Traveling",Introvert,Educational
18,Male,Small,Divorced,Yes,Germany,Sales,Secondary,3800,"Reading, Cooking",Introvert,Educational
56,Male,Large,Married,No,Nigeria,Developer,PhD,1185,"Gaming, Photography",Ambivert,Educational
55,Female,Small,Married,Yes,Nigeria,Artist,PhD,3070,"Reading, Sports, Music, Cooking",Extrovert,Educational
55,Male,Medium,Married,Yes,United States,Sales,Bachelor,2680,"Photography, Reading",Extrovert,Educational
49,Male,Medium,Single,No,Nigeria,Chef,Secondary,698,"Cooking, Photography",Ambivert,Educational
40,Male,Small,Married,Yes,Germany,Sales,Primary,3667,"Gardening, Dancing",Extrovert,Entertainment
51,Female,Small,Married,No,Poland,Chef,Primary,2744,"Music, Reading",Ambivert,Educational
31,Female,Small,Single,No,Nigeria,Sales,Secondary,681,"Gaming, Cooking, Gardening, Dancing",Ambivert,Entertainment
55,Male,Medium,Divorced,Yes,Japan,Artist,Master,4207,"Gardening, Cooking, Gaming, Sports",Introvert,Educational
44,Male,Medium,Divorced,Yes,Japan,Unemployed,Master,4922,"Photography, Cooking",Ambivert,Educational
40,Female,Large,Divorced,No,Canada,Unemployed,Secondary,4988,"Cooking, Sports",Ambivert,Educational
42,Female,Small,Married,No,Spain,Teacher,Bachelor,3631,"Art, Gardening, Reading",Introvert,Educational
45,Female,Medium,Single,No,Poland,Sales,Bachelor,3255,"Traveling, Gaming",Extrovert,Entertainment
19,Female,Small,Married,No,Canada,Chef,Secondary,4794,"Sports, Dancing, Traveling, Cooking",Introvert,Entertainment
24,Female,Large,Single,No,Poland,Teacher,Bachelor,5219,"Gaming, Reading, Gardening",Ambivert,Educational
29,Female,Large,Married,No,United States,Chef,Master,4560,"Sports, Cooking, Gardening",Introvert,Educational
23,Female,Large,Single,Yes,Spain,Unemployed,Bachelor,2070,"Dancing, Gaming",Ambivert,Entertainment
39,Male,Large,Divorced,No,France,Teacher,Secondary,3442,"Traveling, Dancing, Gardening",Ambivert,Entertainment
50,Female,Medium,Single,No,Poland,Doctor,Bachelor,3727,"Traveling, Dancing",Introvert,Entertainment
49,Male,Medium,Single,No,Germany,Student,Primary,1028,"Music, Reading",Introvert,Educational
40,Female,Medium,Single,No,Nigeria,Student,Master,3763,"Gaming, Photography, Reading, Traveling",Ambivert,Educational
59,Female,Large,Married,Yes,Germany,Unemployed,Master,5928,"Sports, Traveling, Dancing",Ambivert,Entertainment
45,Female,Medium,Single,No,Nigeria,Developer,Secondary,3968,"Cooking, Photography, Art, Reading",Ambivert,Educational
21,Female,Medium,Single,No,Nigeria,Engineer,Bachelor,4968,"Gaming, Gardening",Ambivert,Entertainment
54,Male,Large,Single,Yes,Brazil,Student,Master,3419,"Gaming, Cooking, Dancing",Introvert,Educational
45,Female,Large,Single,Yes,Brazil,Teacher,Bachelor,3112,"Gaming, Traveling, Dancing",Introvert,Entertainment
48,Female,Large,Divorced,No,France,Doctor,Bachelor,3658,"Photography, Music, Gardening, Gaming",Extrovert,Entertainment
45,Male,Small,Married,No,Japan,Designer,PhD,2221,"Photography, Gaming",Introvert,Educational
44,Male,Small,Single,Yes,Nigeria,Manager,Secondary,2043,"Sports, Dancing, Photography, Music",Ambivert,Entertainment
22,Female,Medium,Single,Yes,Nigeria,Unemployed,Bachelor,4720,"Reading, Cooking",Ambivert,Educational
44,Female,Medium,Single,Yes,Poland,Unemployed,Secondary,4847,"Dancing, Sports, Reading, Photography",Extrovert,Educational
56,Female,Medium,Single,No,Japan,Chef,Secondary,2011,"Traveling, Music",Introvert,Entertainment
32,Male,Small,Single,Yes,Poland,Unemployed,Master,4362,"Gardening, Reading, Dancing",Ambivert,Educational
46,Male,Large,Single,No,United States,Developer,Bachelor,3096,"Art, Gardening",Ambivert,Entertainment
19,Female,Small,Single,No,Spain,Unemployed,Bachelor,3608,"Sports, Music, Photography",Introvert,Entertainment
34,Female,Medium,Single,Yes,Brazil,Student,Secondary,3752,"Music, Photography, Gaming, Gardening",Introvert,Entertainment
38,Male,Large,Married,Yes,Nigeria,Artist,Master,4393,"Traveling, Art, Gardening",Extrovert,Educational
65,Male,Medium,Single,No,Nigeria,Manager,Secondary,3299,"Cooking, Reading, Dancing",Ambivert,Educational
28,Male,Medium,Married,No,India,Developer,Bachelor,4892,"Traveling, Art, Cooking",Introvert,Educational
31,Male,Small,Married,Yes,Brazil,Unemployed,Secondary,3571,"Reading, Dancing, Gaming",Ambivert,Educational
37,Male,Small,Divorced,No,Japan,Manager,Bachelor,3949,"Music, Art",Ambivert,Entertainment
65,Female,Medium,Single,No,Spain,Teacher,Bachelor,2200,"Art, Gaming",Introvert,Educational
58,Female,Medium,Married,No,India,Artist,Secondary,5790,"Art, Dancing, Traveling",Introvert,Entertainment
19,Male,Small,Divorced,No,Japan,Chef,Bachelor,3764,"Music, Dancing, Gaming, Sports",Ambivert,Entertainment
29,Male,Large,Widowed,Yes,Poland,Sales,Bachelor,4056,"Sports, Gardening, Cooking, Art",Ambivert,Educational
57,Female,Medium,Married,No,Japan,Teacher,Bachelor,1270,"Music, Sports",Ambivert,Entertainment
20,Female,Large,Single,No,France,Designer,Bachelor,2213,"Music, Traveling",Introvert,Entertainment
59,Male,Medium,Divorced,Yes,Brazil,Designer,Master,4685,"Photography, Gardening, Dancing, Gaming",Ambivert,Educational
31,Female,Large,Married,No,Nigeria,Sales,Primary,3544,"Reading, Dancing, Art, Gardening",Ambivert,Educational
62,Male,Small,Single,Yes,France,Developer,Primary,903,"Traveling, Photography",Ambivert,Educational
32,Female,Small,Single,No,Canada,Teacher,Secondary,4446,"Music, Gaming, Cooking, Sports",Introvert,Entertainment
38,Female,Large,Divorced,Yes,United States,Teacher,Secondary,2547,"Photography, Sports",Introvert,Educational
49,Male,Large,Single,Yes,Brazil,Chef,Bachelor,4894,"Gaming, Gardening, Traveling, Cooking",Extrovert,Entertainment
24,Female,Medium,Married,Yes,Spain,Designer,Secondary,3095,"Music, Gardening, Traveling, Gaming",Introvert,Entertainment
44,Female,Small,Single,No,Poland,Student,Primary,3446,"Dancing, Reading",Ambivert,Educational
42,Female,Medium,Married,Yes,Germany,Student,Secondary,4615,"Art, Reading",Ambivert,Educational
55,Male,Large,Single,Yes,Canada,Artist,Bachelor,2123,"Music, Dancing",Extrovert,Entertainment
65,Male,Large,Married,No,Germany,Sales,Bachelor,2009,"Gardening, Reading, Traveling",Extrovert,Educational
49,Female,Medium,Married,No,France,Unemployed,Bachelor,2964,"Dancing, Reading",Ambivert,Educational
37,Female,Small,Divorced,No,Nigeria,Engineer,PhD,4193,"Sports, Cooking",Extrovert,Educational
37,Female,Medium,Single,No,France,Unemployed,Secondary,1603,"Art, Sports, Dancing",Introvert,Entertainment
38,Female,Medium,Single,No,Nigeria,Doctor,Bachelor,1198,"Art, Gaming, Sports",Extrovert,Entertainment
57,Female,Medium,Single,Yes,Poland,Teacher,Secondary,4188,"Cooking, Photography, Dancing",Introvert,Entertainment
33,Male,Medium,Single,Yes,Poland,Sales,Master,2476,"Art, Gaming",Extrovert,Educational
26,Female,Large,Widowed,No,Spain,Designer,Secondary,2729,"Dancing, Music, Photography",Extrovert,Entertainment
34,Female,Small,Single,Yes,Poland,Artist,PhD,972,"Dancing, Sports, Gardening",Extrovert,Entertainment
19,Male,Medium,Single,Yes,Japan,Student,Bachelor,2385,"Sports, Photography, Reading",Ambivert,Educational
23,Female,Medium,Married,No,Spain,Chef,Bachelor,3191,"Cooking, Gardening",Introvert,Educational
22,Male,Medium,Single,Yes,Japan,Chef,Bachelor,4316,"Gaming, Gardening, Sports, Cooking",Ambivert,Entertainment
55,Male,Large,Single,Yes,Brazil,Chef,Secondary,2275,"Gaming, Reading",Introvert,Educational
52,Male,Medium,Married,No,Germany,Engineer,Primary,5189,"Photography, Reading",Ambivert,Educational
51,Female,Medium,Single,No,Spain,Unemployed,Master,2379,"Dancing, Traveling",Introvert,Educational
40,Female,Small,Married,No,Poland,Developer,Master,2380,"Dancing, Gardening, Reading, Art",Introvert,Educational
52,Female,Medium,Married,Yes,Poland,Teacher,Secondary,5045,"Art, Dancing, Gardening, Gaming",Introvert,Entertainment
25,Female,Small,Single,No,Brazil,Chef,Secondary,3454,"Gaming, Traveling, Art, Photography",Extrovert,Entertainment
61,Male,Small,Married,No,Canada,Doctor,Secondary,2538,"Reading, Gaming, Dancing",Ambivert,Educational
42,Male,Medium,Divorced,No,United States,Developer,Master,3014,"Traveling, Cooking",Ambivert,Educational
63,Female,Medium,Single,No,Japan,Developer,Bachelor,4824,"Gardening, Reading",Introvert,Educational
25,Female,Large,Married,No,France,Engineer,Bachelor,4959,"Sports, Gardening, Traveling, Music",Ambivert,Entertainment
41,Male,Medium,Single,Yes,Spain,Manager,Primary,2220,"Gaming, Sports, Cooking",Ambivert,Educational
51,Female,Large,Married,No,Germany,Doctor,Master,3149,"Music, Traveling, Reading, Cooking",Introvert,Educational
41,Male,Medium,Married,Yes,United States,Student,Secondary,3308,"Sports, Traveling, Dancing",Ambivert,Entertainment
39,Male,Medium,Single,No,Nigeria,Chef,Secondary,2017,"Cooking, Gardening, Photography, Traveling",Ambivert,Educational
25,Male,Large,Married,No,Germany,Student,Master,3133,"Sports, Photography",Extrovert,Educational
36,Female,Medium,Single,No,Canada,Sales,Bachelor,3206,"Art, Photography, Music, Sports",Introvert,Entertainment
29,Male,Large,Married,No,Japan,Artist,Bachelor,4568,"Music, Reading, Cooking",Ambivert,Educational
32,Female,Medium,Married,Yes,France,Student,Master,4649,"Reading, Cooking",Extrovert,Educational
50,Female,Small,Single,Yes,Japan,Artist,Secondary,2805,"Cooking, Traveling",Extrovert,Entertainment
48,Female,Medium,Single,No,Japan,Manager,Secondary,2943,"Cooking, Gardening, Music, Gaming",Ambivert,Entertainment
47,Male,Small,Divorced,Yes,Japan,Doctor,Secondary,3997,"Reading, Music, Cooking",Introvert,Educational
35,Male,Small,Single,Yes,Nigeria,Unemployed,Secondary,2498,"Traveling, Dancing",Ambivert,Entertainment
64,Female,Small,Single,No,Japan,Doctor,Bachelor,3906,"Sports, Gaming",Ambivert,Educational
22,Female,Small,Single,Yes,Spain,Engineer,Bachelor,3095,"Cooking, Art",Introvert,Educational
34,Male,Medium,Married,Yes,France,Unemployed,Bachelor,2037,"Photography, Gardening",Introvert,Educational
23,Male,Large,Single,Yes,Canada,Unemployed,Master,2052,"Gaming, Art, Cooking, Sports",Ambivert,Educational
34,Male,Medium,Married,No,Germany,Unemployed,Secondary,4936,"Gaming, Cooking",Introvert,Entertainment
64,Female,Large,Married,No,United States,Unemployed,Secondary,3012,"Art, Gaming, Sports",Extrovert,Entertainment
35,Female,Medium,Single,No,Brazil,Doctor,Secondary,5168,"Sports, Gardening, Dancing, Reading",Introvert,Educational
61,Female,Small,Married,No,Brazil,Artist,Master,2584,"Art, Traveling, Sports",Extrovert,Educational
41,Male,Small,Single,No,Nigeria,Chef,Bachelor,3549,"Reading, Music",Ambivert,Educational
51,Female,Large,Single,Yes,Brazil,Artist,PhD,6071,"Music, Gaming",Extrovert,Entertainment
39,Female,Medium,Married,No,Spain,Chef,Master,1931,"Dancing, Gaming, Gardening",Extrovert,Entertainment
30,Male,Large,Single,No,Germany,Student,Master,923,"Traveling, Gardening",Introvert,Educational
54,Male,Medium,Divorced,No,Japan,Student,Master,4744,"Art, Music",Introvert,Educational
64,Female,Medium,Married,No,India,Chef,Bachelor,2208,"Cooking, Music, Gaming",Introvert,Entertainment
30,Male,Large,Single,No,Japan,Chef,Master,3175,"Music, Traveling",Ambivert,Entertainment
55,Male,Large,Widowed,Yes,India,Developer,Bachelor,2497,"Sports, Photography, Gardening, Dancing",Introvert,Entertainment
30,Female,Small,Married,Yes,Germany,Engineer,Secondary,3522,"Gardening, Photography, Traveling, Dancing",Ambivert,Entertainment
52,Female,Large,Single,No,Spain,Manager,Secondary,2059,"Sports, Cooking",Extrovert,Entertainment
55,Female,Medium,Married,Yes,Canada,Student,Master,2984,"Gaming, Cooking, Music, Reading",Ambivert,Educational
39,Female,Large,Divorced,Yes,Brazil,Student,Secondary,3740,"Sports, Gardening, Cooking, Gaming",Ambivert,Educational
53,Female,Medium,Single,Yes,India,Teacher,Master,1990,"Reading, Gardening, Photography",Extrovert,Educational
31,Female,Medium,Single,Yes,Canada,Chef,PhD,2360,"Cooking, Gaming, Traveling",Extrovert,Educational
21,Male,Medium,Married,No,Poland,Artist,Secondary,2783,"Art, Sports, Traveling",Introvert,Entertainment
22,Male,Large,Single,No,Nigeria,Manager,Secondary,1485,"Reading, Traveling",Introvert,Educational
39,Male,Small,Single,Yes,France,Designer,Secondary,2693,"Traveling, Art",Ambivert,Educational
61,Female,Medium,Married,No,Japan,Sales,Bachelor,3343,"Gaming, Sports, Traveling, Music",Introvert,Entertainment
24,Male,Medium,Divorced,No,France,Developer,Bachelor,2721,"Cooking, Sports",Ambivert,Educational
39,Male,Medium,Married,No,Poland,Doctor,Secondary,2874,"Cooking, Music, Sports",Extrovert,Entertainment
51,Male,Medium,Single,No,Nigeria,Artist,Bachelor,3176,"Photography, Reading, Cooking",Ambivert,Educational
27,Male,Medium,Single,No,France,Chef,Bachelor,2413,"Sports, Music, Dancing, Gardening",Introvert,Entertainment
52,Female,Medium,Single,No,Spain,Developer,Secondary,4029,"Art, Photography",Introvert,Educational
32,Male,Medium,Single,Yes,Poland,Unemployed,Primary,4923,"Sports, Reading, Traveling, Dancing",Extrovert,Entertainment
56,Male,Medium,Married,No,Canada,Student,Secondary,2643,"Cooking, Photography, Gardening, Traveling",Introvert,Educational
45,Male,Medium,Single,Yes,Nigeria,Artist,Master,3782,"Photography, Gardening",Introvert,Educational
44,Female,Large,Married,No,Japan,Teacher,Secondary,2912,"Dancing, Photography, Cooking, Gardening",Ambivert,Entertainment
26,Male,Medium,Married,No,India,Artist,Primary,3639,"Gardening, Dancing, Music",Ambivert,Entertainment
40,Male,Small,Married,Yes,Japan,Developer,Bachelor,5079,"Traveling, Reading, Gardening, Sports",Ambivert,Educational
59,Male,Medium,Divorced,No,Canada,Teacher,Bachelor,3810,"Dancing, Gardening",Ambivert,Entertainment
18,Female,Small,Married,No,Spain,Manager,Master,1072,"Cooking, Reading, Music",Ambivert,Educational
54,Female,Small,Divorced,Yes,Spain,Doctor,Bachelor,3745,"Reading, Art",Introvert,Educational
41,Male,Large,Married,No,Japan,Manager,Bachelor,4679,"Music, Reading, Gaming",Ambivert,Educational
52,Male,Medium,Married,No,Canada,Student,Bachelor,2934,"Art, Gaming, Cooking",Ambivert,Entertainment
49,Female,Medium,Single,Yes,Brazil,Manager,Master,4395,"Traveling, Cooking, Sports, Music",Ambivert,Educational
38,Male,Large,Single,No,Canada,Chef,Bachelor,2372,"Gaming, Photography, Sports",Extrovert,Entertainment
32,Male,Small,Divorced,Yes,United States,Manager,Bachelor,1417,"Sports, Dancing, Music, Art",Introvert,Entertainment
48,Female,Small,Single,No,Japan,Manager,Secondary,3369,"Music, Reading",Ambivert,Educational
24,Female,Small,Divorced,No,Brazil,Designer,Bachelor,1092,"Reading, Traveling",Ambivert,Educational
46,Male,Small,Single,No,Nigeria,Doctor,Master,2912,"Cooking, Gardening, Art, Dancing",Ambivert,Educational
22,Male,Medium,Married,Yes,Japan,Artist,Secondary,4744,"Sports, Traveling",Introvert,Educational
49,Male,Large,Single,No,United States,Doctor,Secondary,908,"Sports, Dancing, Gardening",Ambivert,Entertainment
48,Male,Medium,Divorced,Yes,Germany,Teacher,Bachelor,1665,"Gaming, Reading, Cooking, Art",Extrovert,Educational
22,Female,Small,Single,Yes,France,Designer,Master,1962,"Dancing, Gaming, Music",Ambivert,Entertainment
54,Female,Medium,Single,No,Spain,Doctor,Secondary,3124,"Gaming, Dancing, Sports, Cooking",Introvert,Entertainment
37,Male,Small,Divorced,No,Poland,Teacher,Master,2761,"Traveling, Reading, Dancing, Sports",Introvert,Educational
55,Male,Medium,Single,Yes,Brazil,Developer,Secondary,4879,"Reading, Photography, Traveling, Art",Ambivert,Educational
19,Female,Medium,Single,Yes,Spain,Artist,Master,4345,"Dancing, Art, Cooking, Photography",Introvert,Entertainment
26,Male,Small,Divorced,No,United States,Doctor,Master,3794,"Photography, Traveling, Gardening",Extrovert,Educational
41,Female,Large,Married,Yes,Spain,Student,Master,3375,"Gardening, Sports",Extrovert,Educational
